Temperature,Clearsky DHI,Clearsky DNI,Relative Humidity,Wind Speed,DNI,Cloud Type,Clearsky GHI,DHI,GHI,Solar Zenith Angle
29.7,231,223,10.37,6.9,223,7,321,231,321,66.21
26.7,82,27,12.31,4.9,27,7,87,82,87,79.5
24.3,0,0,15.64,4.3,0,3,0,0,0,93.02
23,0,0,20,5,0,0,0,0,0,106.39
21.6,0,0,26.16,5.2,0,7,0,0,0,119.46
20.2,0,0,31.92,4.9,0,7,0,0,0,131.86
19.1,0,0,35.28,4.9,0,7,0,0,0,142.82
18.2,0,0,37.04,5.1,0,7,0,0,0,150.6
17.3,0,0,38.4,5.2,0,7,0,0,0,152.34
16.9,0,0,38.68,5.3,0,7,0,0,0,147.05
15.2,0,0,42.97,5.1,0,7,0,0,0,137.29
13.9,0,0,47.94,4.9,0,7,0,0,0,125.43
12.8,0,0,54.73,4.7,0,7,0,0,0,112.61
12.1,0,0,62.57,4.9,0,7,0,0,0,99.34
12.4,15,1,67.9,5.6,0,7,15,13,13,85.72
14,166,165,69.08,6.2,0,7,216,56,56,72.42
16.4,261,372,59.39,6.4,133,7,451,228,296,59.24
18.8,308,524,45.51,6.8,363,7,668,297,547,46.61
20.8,328,620,35.8,7.2,620,1,834,328,834,35.27
22,334,674,31.45,7.6,502,7,935,374,821,27.01
22.7,328,695,29.04,7.8,512,7,957,382,846,25.11
23,312,684,27.84,7.9,684,1,899,312,899,30.78
22.8,281,642,27.85,7.7,642,0,765,281,765,40.98
22.1,241,557,28.87,7.4,366,7,575,248,467,53.12
20.9,180,411,30.86,6.6,65,2,346,166,192,66.09
19.1,89,155,34.34,5.1,155,0,117,89,117,79.39
17.2,0,0,38.61,3.7,0,3,0,0,0,92.92
16,0,0,41.55,3.2,0,0,0,0,0,106.27
15.2,0,0,43.71,3.3,0,0,0,0,0,119.32
14.6,0,0,45.7,3.6,0,0,0,0,0,131.68
14.1,0,0,48.3,4,0,0,0,0,0,142.57
13.6,0,0,52.17,4.1,0,0,0,0,0,150.26
12.9,0,0,57.79,4.1,0,0,0,0,0,151.94
12.6,0,0,61.61,4,0,0,0,0,0,146.68
11.6,0,0,67.4,4,0,0,0,0,0,136.97
10.9,0,0,71.26,3.8,0,0,0,0,0,125.15
10.1,0,0,75.22,3.6,0,1,0,0,0,112.35
9.7,0,0,77,3.7,0,0,0,0,0,99.09
10.5,30,17,72.31,4.3,17,0,31,30,31,85.48
12.5,140,333,60.01,5.2,333,0,242,140,242,72.17
14.6,192,572,46.33,6,572,0,487,192,487,58.97
16.4,214,719,38.17,6.7,719,0,710,214,710,46.32
17.9,220,807,32.39,7.3,807,0,882,220,882,34.93
18.9,222,851,27.59,7.6,851,0,982,222,982,26.61
19.6,222,863,23.5,7.6,863,0,1006,222,1006,24.73
19.9,219,843,21.11,7.5,843,0,945,219,945,30.5
19.7,211,788,20.3,7.3,788,0,807,211,807,40.79
19.1,186,705,20.33,7,705,0,611,186,611,52.98
17.9,149,554,21.4,6.1,554,0,375,149,375,65.98
15.7,84,251,24.48,4.3,251,0,131,84,131,79.28
13.5,0,0,28.32,2.9,0,0,0,0,0,92.81
12.3,0,0,30.82,2.7,0,0,0,0,0,106.16
11.4,0,0,32.77,2.6,0,0,0,0,0,119.18
10.6,0,0,34.47,2.6,0,0,0,0,0,131.5
10,0,0,35.63,2.6,0,0,0,0,0,142.32
9.5,0,0,36.54,2.8,0,0,0,0,0,149.92
9.2,0,0,37.05,3.1,0,0,0,0,0,151.54
9.1,0,0,37.58,3.3,0,0,0,0,0,146.31
8.8,0,0,39.81,3.6,0,0,0,0,0,136.65
8.4,0,0,44.41,3.5,0,0,0,0,0,124.86
7.8,0,0,51.75,3,0,0,0,0,0,112.09
7.7,0,0,58.18,3.1,0,0,0,0,0,98.85
8.9,36,59,58.41,3.9,59,0,41,36,41,85.25
11.7,121,443,51.19,4.3,443,0,259,121,259,71.92
15.4,166,651,41.82,4.6,651,0,505,166,505,58.71
18.3,196,758,34.87,5,758,0,722,196,722,46.03
19.9,216,813,30.64,5.2,813,0,885,216,885,34.6
21.1,224,844,27.34,5.4,844,0,981,224,981,26.22
21.9,229,844,24.94,5.5,844,0,998,229,998,24.35
22.4,225,824,23.18,5.5,824,0,937,225,937,30.23
22.4,209,782,22.31,5.3,782,0,803,209,803,40.59
21.9,182,705,22.28,5.1,705,0,608,182,608,52.84
20.5,144,559,23.81,4.2,559,0,372,144,372,65.86
17.7,82,264,28.29,2.8,264,0,131,82,131,79.18
15.3,0,0,33.14,2.1,0,0,0,0,0,92.7
14.2,0,0,35.68,2,0,0,0,0,0,106.04
13.2,0,0,38,1.9,0,0,0,0,0,119.04
12.4,0,0,39.81,1.8,0,0,0,0,0,131.31
11.6,0,0,41.7,1.7,0,0,0,0,0,142.06
10.9,0,0,43.44,1.7,0,0,0,0,0,149.57
10.2,0,0,45.26,1.6,0,0,0,0,0,151.14
9.9,0,0,46.03,1.6,0,0,0,0,0,145.93
9.1,0,0,48.54,1.6,0,0,0,0,0,136.32
8.7,0,0,50.05,1.5,0,0,0,0,0,124.58
8.2,0,0,52.03,1.4,0,0,0,0,0,111.83
8.2,0,0,52.3,1.3,0,0,0,0,0,98.6
10.1,37,153,46.08,1.7,153,0,50,37,50,85.01
13.3,97,577,37.3,2.1,577,0,279,97,279,71.68
17,128,765,29.36,2.3,765,0,528,128,528,58.46
20.2,147,866,23.18,2.7,866,0,752,147,752,45.74
21.7,160,916,19.94,2.8,916,0,917,160,917,34.26
22.9,170,935,17.43,3,935,0,1011,170,1011,25.83
23.8,173,937,15.41,3.1,937,0,1028,173,1028,23.98
24.2,168,922,14.05,3.1,922,0,967,168,967,29.95
24.3,159,882,13.12,3.2,882,0,831,159,831,40.41
23.8,140,822,12.8,3.1,822,0,638,140,638,52.7
22.1,111,700,13.67,2.2,700,0,399,111,399,65.74
19.2,68,425,16.26,1.3,425,0,148,68,148,79.07
17.1,0,0,18.64,1.3,0,0,0,0,0,92.6
16,0,0,20.27,1.4,0,0,0,0,0,105.92
15.1,0,0,21.78,1.4,0,0,0,0,0,118.89
14.4,0,0,23.15,1.4,0,0,0,0,0,131.12
13.7,0,0,24.63,1.4,0,0,0,0,0,141.81
13.3,0,0,25.67,1.4,0,0,0,0,0,149.23
13,0,0,26.54,1.4,0,0,0,0,0,150.74
13,0,0,26.76,1.3,0,0,0,0,0,145.56
13.1,0,0,26.71,1,0,0,0,0,0,136
12.9,0,0,27.09,0.8,0,0,0,0,0,124.29
12.6,0,0,27.6,0.7,0,0,0,0,0,111.57
12.1,0,0,28.43,0.8,0,0,0,0,0,98.36
12.8,38,167,27.05,1.1,167,0,54,38,54,84.78
15,99,566,23.31,1.8,566,0,279,99,279,71.44
18.7,134,744,18.33,2.3,744,0,525,134,525,58.2
22.3,156,835,14.29,2.6,835,0,742,156,742,45.46
24.2,169,884,11.98,2.6,884,0,902,169,902,33.93
25.4,177,906,10.55,2.5,906,0,995,177,995,25.44
26.4,179,909,9.43,2.4,909,0,1012,179,1012,23.6
27,173,896,8.74,2.4,896,0,952,173,952,29.68
27.2,160,863,8.42,2.4,863,0,818,160,818,40.22
26.8,143,790,8.57,2.2,790,0,623,143,623,52.56
25.3,118,641,9.41,1.6,641,0,383,118,383,65.63
23.1,74,339,11.14,1,339,0,139,74,139,78.97
21.6,0,0,11.85,1.1,0,0,0,0,0,92.49
20.3,0,0,12.71,1.3,0,0,0,0,0,105.8
18.7,0,0,13.93,1.5,0,0,0,0,0,118.75
17.2,0,0,15.17,1.6,0,0,0,0,0,130.94
16.3,0,0,15.93,1.8,0,0,0,0,0,141.55
15.7,0,0,16.43,2,0,0,0,0,0,148.88
15.4,0,0,16.69,2.3,0,0,0,0,0,150.34
15.2,0,0,16.91,2.5,0,0,0,0,0,145.19
14.4,0,0,17.92,2.9,0,0,0,0,0,135.68
14,0,0,18.54,3,0,0,0,0,0,124.01
13.6,0,0,19.34,3.1,0,0,0,0,0,111.31
13.7,0,0,19.66,3.4,0,0,0,0,0,98.11
15.4,41,91,18.06,4.3,91,0,50,41,50,84.55
18.3,117,475,15.35,4.5,475,0,271,117,271,71.2
22,159,673,12.45,4.4,673,0,516,159,516,57.94
25.6,191,762,10.58,5.6,762,0,729,191,729,45.17
27.6,226,788,10.37,6.9,788,0,882,226,882,33.6
28.3,261,775,11.51,7.5,775,0,964,261,964,25.05
28.4,291,737,13.88,7.8,737,0,968,291,968,23.23
28.2,308,672,17.15,7.7,98,4,893,434,519,29.42
27.7,308,580,21.26,7.6,503,3,752,287,672,40.04
26.7,273,467,26.69,7.2,65,8,558,267,307,52.42
25.2,206,305,33.05,6.6,143,3,332,176,235,65.52
23.2,93,76,39.38,5.5,0,3,107,60,60,78.87
21.3,0,0,44.33,4.6,0,4,0,0,0,92.38
19.9,0,0,47.28,4.3,0,7,0,0,0,105.68
18.8,0,0,48.6,4.3,0,7,0,0,0,118.6
17.6,0,0,49.28,4.4,0,3,0,0,0,130.75
16.4,0,0,49.1,4.4,0,4,0,0,0,141.29
15.3,0,0,48.26,4.3,0,4,0,0,0,148.54
14.4,0,0,47.62,4.2,0,3,0,0,0,149.95
14,0,0,47.04,4.1,0,0,0,0,0,144.81
12.8,0,0,50.78,4.2,0,0,0,0,0,135.35
12,0,0,55.19,4.2,0,0,0,0,0,123.73
11.3,0,0,60.36,4.1,0,0,0,0,0,111.05
10.9,0,0,64.69,4.2,0,0,0,0,0,97.87
11.7,41,27,63.62,5.3,27,0,44,41,44,84.31
13.6,166,270,61.06,6.9,270,0,254,166,254,70.96
15.4,252,436,58.45,7.7,436,0,485,252,485,57.69
16.7,300,555,50.79,7.9,555,0,693,300,693,44.89
17.9,321,640,43.81,8,263,2,856,412,632,33.27
18.9,317,702,38.48,8.1,702,0,954,317,954,24.66
19.5,294,746,34.32,8.1,746,0,982,294,982,22.86
19.7,264,760,31.27,8.1,760,0,927,264,927,29.16
19.5,237,729,29.52,8,729,0,796,237,796,39.86
18.8,209,641,29.35,7.6,641,0,601,209,601,52.29
17.7,168,476,30.69,6.9,476,0,366,168,366,65.41
16.1,93,189,34.16,5.6,189,0,130,93,130,78.76
14.6,0,0,38.78,4.3,0,0,0,0,0,92.28
13.5,0,0,43.2,3.7,0,0,0,0,0,105.56
12.9,0,0,46.65,3.5,0,0,0,0,0,118.46
12.5,0,0,49.6,3.8,0,0,0,0,0,130.56
12.1,0,0,53.1,4.2,0,0,0,0,0,141.04
11.8,0,0,57.01,4.5,0,0,0,0,0,148.19
11.3,0,0,62.21,4.4,0,0,0,0,0,149.55
10.9,0,0,66.34,4.2,0,0,0,0,0,144.44
9.4,0,0,74.7,3.3,0,1,0,0,0,135.03
8.7,0,0,78.66,3.1,0,1,0,0,0,123.44
8.2,0,0,80.84,3.3,0,0,0,0,0,110.8
8.1,0,0,80.05,3.7,0,0,0,0,0,97.63
9.1,45,77,73.21,4.6,77,0,53,45,53,84.08
11.5,132,432,57.85,5.9,432,0,275,132,275,70.72
13.8,179,631,43.57,7,631,0,518,179,518,57.44
15.3,211,731,39.96,7.7,731,0,732,211,732,44.61
16.5,237,778,37.57,8,778,0,890,237,890,32.94
17.4,258,792,35.55,8.2,792,0,980,258,980,24.28
18.1,270,787,34.21,8.2,787,0,997,270,997,22.49
18.4,265,760,33.85,8.2,760,0,930,265,930,28.9
18.3,251,706,33.69,8,706,0,794,251,794,39.68
18,225,608,33.13,7.6,608,0,598,225,598,52.16
17.1,182,432,33.48,6.7,432,0,363,182,363,65.3
15.4,97,143,35.44,4.9,143,0,125,97,125,78.66
13.6,0,0,37.95,3.3,0,0,0,0,0,92.17
12.4,0,0,39.19,2.8,0,0,0,0,0,105.44
11.4,0,0,40.06,2.6,0,0,0,0,0,118.31
10.5,0,0,41.16,2.4,0,0,0,0,0,130.36
9.7,0,0,42.62,2.3,0,0,0,0,0,140.77
9.1,0,0,43.95,2.3,0,0,0,0,0,147.85
8.4,0,0,45.7,2.1,0,0,0,0,0,149.16
8.1,0,0,46.39,2,0,0,0,0,0,144.07
7.4,0,0,48.45,2,0,0,0,0,0,134.71
7,0,0,49.69,2.1,0,0,0,0,0,123.16
6.7,0,0,50.89,2.2,0,0,0,0,0,110.54
6.9,0,0,50.64,2.5,0,0,0,0,0,97.38
8.5,47,126,46.24,3.3,126,0,60,47,60,83.85
11.4,120,496,38.97,3.7,496,0,286,120,286,70.48
15,161,681,31.98,4.1,681,0,530,161,530,57.19
17.7,187,780,29.4,4.7,780,0,745,187,745,44.33
19,202,836,27,4.7,836,0,906,202,906,32.62
20,211,861,24.42,4.7,861,0,999,211,999,23.9
21,208,872,21.99,4.8,872,0,1016,208,1016,22.13
21.6,199,860,20.34,5,860,0,954,199,954,28.64
21.7,187,820,19.61,5.6,820,0,819,187,819,39.51
21.2,169,731,20.07,5.8,731,0,619,169,619,52.03
20,138,582,21.91,4.8,582,0,382,138,382,65.19
17.2,82,293,26.67,2.7,293,0,141,82,141,78.56
14.7,0,0,31.85,1.6,0,0,0,0,0,92.06
13.7,0,0,34.47,1.6,0,0,0,0,0,105.32
12.9,0,0,36.79,1.7,0,0,0,0,0,118.16
12.2,0,0,38.97,1.5,0,0,0,0,0,130.17
11.7,0,0,40.57,1.3,0,0,0,0,0,140.51
11.6,0,0,41.02,1.2,0,0,0,0,0,147.5
11.5,0,0,41.31,1.1,0,0,0,0,0,148.77
11.4,0,0,41.57,1.1,0,0,0,0,0,143.7
11.4,0,0,41.51,0.9,0,0,0,0,0,134.38
11.3,0,0,41.71,0.6,0,0,0,0,0,122.87
11.1,0,0,42.19,0.3,0,0,0,0,0,110.28
10.7,0,0,43.28,0.5,0,0,0,0,0,97.14
11.6,47,154,40.8,1.3,154,0,64,47,64,83.62
14.4,124,467,33.99,1.9,467,0,282,124,282,70.24
17.8,184,605,27.08,1.9,605,0,514,184,514,56.94
20.5,230,681,21.8,2,681,0,720,230,720,44.06
22.3,260,729,19.3,2.3,729,0,875,260,875,32.3
23.7,276,751,18.15,2.4,751,0,965,276,965,23.51
24.7,276,758,17.91,2.5,758,0,980,276,980,21.76
25.4,270,733,18.11,2.5,733,0,915,270,915,28.39
25.7,253,683,18.39,2.4,683,0,781,253,781,39.34
25.6,226,590,18.66,2,590,0,590,226,590,51.9
24.7,177,434,19.63,1.1,434,0,360,177,360,65.08
22.7,94,167,22,0.7,167,0,128,94,128,78.46
20.1,0,0,25.73,1.2,0,0,0,0,0,91.96
18,0,0,29.21,1.5,0,0,0,0,0,105.2
16.8,0,0,31.05,1.8,0,0,0,0,0,118.01
16,0,0,31.94,2,0,0,0,0,0,129.98
15.3,0,0,32.77,2.2,0,0,0,0,0,140.25
14.7,0,0,33.8,2.3,0,0,0,0,0,147.15
14,0,0,35.23,2.3,0,0,0,0,0,148.37
13.7,0,0,35.56,2.2,0,0,0,0,0,143.33
12.7,0,0,36.97,1.8,0,0,0,0,0,134.06
12.2,0,0,36.89,1.7,0,0,0,0,0,122.59
11.9,0,0,36.52,1.9,0,0,0,0,0,110.02
12.1,0,0,35.55,2.7,0,0,0,0,0,96.9
13.7,43,16,32.55,4,16,0,45,43,45,83.39
16.6,176,243,28.41,5,243,0,259,176,259,70.01
20.3,248,461,23.49,6,461,0,500,248,500,56.69
23.5,287,595,19.46,7.3,595,0,716,287,716,43.79
25.5,321,656,17.37,7.7,656,0,877,321,877,31.98
26.7,346,678,15.66,7.7,678,0,969,346,969,23.13
27.4,366,659,14.44,7.7,659,0,979,366,979,21.4
27.6,363,624,13.89,7.6,624,0,913,363,913,28.14
27.3,348,550,13.93,7.3,550,0,774,348,774,39.17
26.6,276,508,14.41,6.7,508,0,590,276,590,51.77
25.1,191,417,15.69,5.2,417,0,367,191,367,64.97
22,96,192,18.97,3.3,192,0,135,96,135,78.36
19.4,0,0,22.51,2.7,0,0,0,0,0,91.85
18.4,0,0,24.75,3.1,0,0,0,0,0,105.08
17.4,0,0,28.12,3.5,0,0,0,0,0,117.86
16.4,0,0,32.72,3.4,0,0,0,0,0,129.78
15.3,0,0,38.07,3.1,0,0,0,0,0,139.99
14.3,0,0,42.78,2.7,0,0,0,0,0,146.81
13.5,0,0,46.29,2.5,0,0,0,0,0,147.98
13.1,0,0,48.7,2.4,0,0,0,0,0,142.97
11.8,0,0,55.01,1.9,0,0,0,0,0,133.74
11.1,0,0,60.42,1.5,0,0,0,0,0,122.31
10.5,0,0,66.1,1.3,0,0,0,0,0,109.77
10.7,0,0,67.68,1.1,0,0,0,0,0,96.66
12.6,51,153,61.52,1.5,153,0,69,51,69,83.16
15.4,120,506,52.99,1.9,506,0,295,120,295,69.78
18.9,157,689,43.26,2.4,689,0,538,157,538,56.45
22.2,177,792,32.61,3.3,792,0,752,177,752,43.52
23.9,188,850,27.92,3.9,463,2,912,348,742,31.66
25,190,886,25.21,4.2,470,3,1007,400,833,22.75
25.8,186,895,23.17,4.4,895,1,1021,186,1021,21.04
26.2,177,885,21.78,4.5,516,7,959,361,816,27.89
26.2,163,853,21.04,4.5,368,7,826,346,632,39
25.7,141,787,21.17,4.4,414,7,630,244,501,51.65
24.5,114,663,22.52,3.7,250,7,395,172,278,64.87
21.6,73,390,26.98,2.4,390,0,152,73,152,78.26
18.9,0,0,32.3,1.6,0,0,0,0,0,91.75
17.7,0,0,35.31,1.5,0,7,0,0,0,104.95
16.9,0,0,37.54,1.4,0,7,0,0,0,117.71
16.4,0,0,39.09,1.3,0,0,0,0,0,129.58
15.8,0,0,40.98,1.3,0,0,0,0,0,139.72
14.8,0,0,44.1,1.3,0,7,0,0,0,146.47
13.8,0,0,47.52,1.3,0,4,0,0,0,147.6
13.3,0,0,49.67,1.4,0,3,0,0,0,142.6
13,0,0,51.19,1.4,0,7,0,0,0,133.42
12.9,0,0,52.01,1.4,0,0,0,0,0,122.02
12.7,0,0,53.06,1.5,0,4,0,0,0,109.51
12.9,0,0,52.57,1.7,0,1,0,0,0,96.42
14,53,143,48.97,2.2,80,7,71,43,53,82.93
16.1,125,487,42.83,2.5,2,3,295,118,118,69.55
19.5,165,662,34.89,2.5,662,0,533,165,533,56.21
22.5,191,758,28.88,2.2,129,4,743,351,445,43.26
24.3,203,814,25.25,1.4,404,7,899,372,717,31.35
25.8,203,852,22.47,1,852,0,991,203,991,22.38
26.9,203,861,20.18,0.7,861,0,1008,203,1008,20.69
27.7,199,842,18.11,0.7,842,0,945,199,945,27.65
28,194,790,16.67,0.9,790,0,810,194,810,38.84
27.8,174,709,15.98,1.1,709,0,616,174,616,51.53
26.8,142,563,16.29,0.9,563,0,382,142,382,64.77
24.5,86,270,18.35,0.9,270,0,142,86,142,78.16
22.2,0,0,21.08,1.3,0,0,0,0,0,91.64
21.1,0,0,22.75,1.7,0,0,0,0,0,104.83
20.7,0,0,23.76,2.2,0,0,0,0,0,117.56
20.3,0,0,24.97,2.6,0,0,0,0,0,129.39
19.8,0,0,26.37,2.9,0,3,0,0,0,139.46
19.4,0,0,27.46,3.1,0,7,0,0,0,146.12
19,0,0,28.39,3.2,0,7,0,0,0,147.21
18.8,0,0,28.83,3.3,0,6,0,0,0,142.24
18.2,0,0,29.94,3.6,0,6,0,0,0,133.1
17.7,0,0,30.93,3.5,0,7,0,0,0,121.74
17.2,0,0,32.06,3.5,0,7,0,0,0,109.26
17,0,0,32.74,3.6,0,7,0,0,0,96.18
17.6,53,28,31.94,4,0,4,57,8,8,82.71
19.7,180,251,28.51,4.4,128,7,269,144,189,69.32
22.9,260,427,23.59,5.2,161,8,499,253,343,55.97
25.9,316,528,19.17,5.8,384,7,702,314,595,42.99
28.3,348,586,15.62,6,586,0,850,348,850,31.04
30.5,362,621,13.05,6,438,2,938,406,811,22
32.4,364,626,11.24,6.1,385,7,952,429,790,20.33
33.3,352,603,10.35,6,603,0,887,352,887,27.41
33.6,326,550,9.99,5.4,305,7,755,366,605,38.68
33,280,459,10.26,3.8,459,7,567,231,517,51.41
30.7,212,306,11.78,1.9,0,8,343,115,115,64.66
27.6,101,78,14.25,2.3,0,8,117,10,10,78.06
24.9,0,0,17.47,4.8,0,7,0,0,0,91.53
22.4,0,0,24.22,6.9,0,8,0,0,0,104.71
20.6,0,0,36.64,6,0,7,0,0,0,117.41
19.9,0,0,49.03,3.3,0,8,0,0,0,129.19
19.8,0,0,53.78,2.5,0,7,0,0,0,139.19
19.5,0,0,55.92,3,0,7,0,0,0,145.78
19.1,0,0,58.81,3.3,0,7,0,0,0,146.83
18.9,0,0,61.67,3.5,0,7,0,0,0,141.87
17.5,0,0,69.65,1.6,0,7,0,0,0,132.78
16.7,0,0,75.06,1.2,0,7,0,0,0,121.46
16,0,0,79.74,1.1,0,7,0,0,0,109
16.3,0,0,78.98,1.6,0,7,0,0,0,95.95
18,56,48,71.44,2.4,0,7,62,7,7,82.48
20.5,169,283,63.17,3,0,7,270,16,16,69.09
23.3,258,418,53.85,3.1,148,7,493,255,338,55.74
25.6,331,481,42.87,3,71,7,684,336,389,42.73
26.4,391,499,39.27,4.2,285,7,820,420,665,30.73
25.1,458,462,43.11,5.6,42,7,887,411,450,21.63
24.3,461,466,49.12,5,20,8,899,330,349,19.98
24.8,435,456,47.48,4.2,273,7,841,443,686,27.18
25.1,399,402,46.9,4.2,402,8,714,399,714,38.53
24.6,340,306,49.53,3.9,0,4,531,103,103,51.29
24,240,182,52.37,3.4,0,8,318,119,119,64.56
22.8,95,32,57.02,2.6,0,8,102,10,10,77.96
21.5,0,0,62.31,2.1,0,8,0,0,0,91.43
20.6,0,0,66.43,1.9,0,7,0,0,0,104.58
20,0,0,69.28,1.6,0,7,0,0,0,117.25
19.7,0,0,70.8,1.6,0,7,0,0,0,128.99
19.2,0,0,73.27,1.5,0,8,0,0,0,138.92
18.6,0,0,76.44,1.5,0,8,0,0,0,145.44
18.3,0,0,78.12,1.6,0,4,0,0,0,146.44
18.2,0,0,78.87,1.7,0,7,0,0,0,141.51
18,0,0,80.2,2.6,0,7,0,0,0,132.46
17.7,0,0,81.89,2.5,0,7,0,0,0,121.18
17.3,0,0,83.77,1.9,0,7,0,0,0,108.75
17.3,0,0,83.39,1.4,0,7,0,0,0,95.71
17.7,35,3,81.44,1.6,0,7,36,7,7,82.26
18.5,202,94,78.46,1.9,0,6,236,18,18,68.87
19.8,328,230,73.84,2.3,0,8,458,38,38,55.5
21.4,406,337,68.5,3,0,8,654,65,65,42.48
23.2,456,402,60.86,3.9,0,8,802,127,127,30.43
24.9,480,436,51.91,4.2,17,8,886,304,320,21.26
25.9,480,447,45.11,4,0,8,901,115,115,19.63
26.4,447,448,42.61,4,0,8,846,118,118,26.95
26.6,395,416,42.72,4.2,4,8,722,157,160,38.37
26.2,331,336,44.67,4.2,107,8,542,288,355,51.17
25.4,236,211,47.36,3.4,211,3,327,236,327,64.46
23.6,101,49,53.06,2.1,49,0,111,101,111,77.87
21.9,0,0,59.78,1.4,0,4,0,0,0,91.32
20.9,0,0,64.79,1.5,0,4,0,0,0,104.46
20.2,0,0,68.69,1.6,0,3,0,0,0,117.1
19.6,0,0,72.13,1.7,0,3,0,0,0,128.78
19.1,0,0,74.99,1.7,0,0,0,0,0,138.66
18.9,0,0,75.93,1.8,0,3,0,0,0,145.09
18.8,0,0,74.18,2.5,0,0,0,0,0,146.06
18.8,0,0,66.58,3.1,0,0,0,0,0,141.15
18,0,0,56.25,4.7,0,0,0,0,0,132.15
17.1,0,0,45.01,5,0,0,0,0,0,120.91
16.1,0,0,40.59,4.8,0,0,0,0,0,108.5
15.5,0,0,41.33,4.7,0,0,0,0,0,95.48
16.1,47,8,40.19,5.1,8,0,48,47,48,82.04
17.9,200,184,37.55,5.7,184,0,267,200,267,68.65
20.1,283,393,33.97,5.6,393,0,507,283,507,55.27
22.1,316,550,28.43,5.3,550,0,723,316,723,42.23
24,319,659,23.84,5.2,659,0,890,319,890,30.13
25.4,305,738,20.93,5.4,738,0,994,305,994,20.9
26.3,282,781,18.64,5.8,781,0,1019,282,1019,19.28
26.4,253,793,16.44,6,793,0,961,253,961,26.72
26,223,777,14.95,6.2,777,0,833,223,833,38.22
25,185,719,14.59,6.2,719,0,637,185,637,51.06
23.5,142,602,15.07,5.9,602,0,402,142,402,64.36
20.9,84,359,16.99,4.4,359,0,160,84,160,77.77
18.3,0,0,19.81,3.3,0,0,0,0,0,91.21
16.9,0,0,22.4,3.2,0,0,0,0,0,104.33
15.8,0,0,25.86,3,0,0,0,0,0,116.94
14.8,0,0,29.85,2.7,0,0,0,0,0,128.58
13.8,0,0,33.79,2.4,0,0,0,0,0,138.39
13,0,0,36.86,2.2,0,0,0,0,0,144.75
12.2,0,0,39.72,2.1,0,0,0,0,0,145.69
11.9,0,0,41.3,2.1,0,0,0,0,0,140.8
10.9,0,0,45.18,1.9,0,0,0,0,0,131.83
10.3,0,0,48.36,1.8,0,0,0,0,0,120.63
9.8,0,0,51.58,1.7,0,0,0,0,0,108.25
10.2,0,0,51.9,2,0,0,0,0,0,95.25
12.1,53,317,47.24,2.8,317,0,98,53,98,81.82
15.3,101,648,39.54,3.2,648,0,339,101,339,68.43
18.8,129,795,33.07,3.5,795,0,584,129,584,55.05
21.3,149,871,28.02,3.6,871,0,796,149,796,41.98
23,163,912,23.9,3.5,912,0,953,163,953,29.84
24.4,173,926,20.6,3.5,926,0,1041,173,1041,20.53
25.5,173,930,18.13,3.7,930,0,1053,173,1053,18.94
26.2,170,914,16.46,3.9,914,0,988,170,988,26.5
26.4,162,874,15.62,4.1,874,0,850,162,850,38.08
26.1,145,804,15.54,4.2,804,0,652,145,652,50.95
24.9,120,672,16.63,3.6,672,0,412,120,412,64.26
21.9,77,404,20.2,2.4,404,0,164,77,164,77.67
19,0,0,24.79,1.8,0,0,0,0,0,91.11
17.8,0,0,27.38,1.8,0,0,0,0,0,104.21
16.8,0,0,29.77,1.8,0,0,0,0,0,116.78
15.8,0,0,32.2,1.8,0,0,0,0,0,128.38
14.9,0,0,34.56,1.7,0,0,0,0,0,138.12
14.1,0,0,36.8,1.7,0,0,0,0,0,144.41
13.4,0,0,38.99,1.6,0,0,0,0,0,145.31
13,0,0,40.55,1.6,0,0,0,0,0,140.44
12.1,0,0,43.59,1.6,0,0,0,0,0,131.52
11.6,0,0,45.64,1.5,0,0,0,0,0,120.35
11,0,0,48.1,1.5,0,0,0,0,0,108.01
11.4,0,0,47.45,1.5,0,0,0,0,0,95.02
13.5,55,317,41.93,2.2,317,0,101,55,101,81.6
16.8,101,652,34.32,3,652,0,343,101,343,68.21
20.6,127,802,27.51,3.5,802,0,589,127,589,54.82
23.5,146,877,22.49,3.7,877,0,801,146,801,41.73
25.1,160,917,19.69,3.5,917,0,957,160,957,29.55
26.2,163,942,17.68,3.2,942,0,1047,163,1047,20.17
27.1,164,943,16.05,3,943,0,1058,164,1058,18.6
27.6,160,928,14.9,2.8,928,0,992,160,992,26.28
27.6,152,891,14.36,2.7,891,0,854,152,854,37.93
27.2,135,825,14.29,2.7,825,0,656,135,656,50.84
25.9,111,703,15.17,2.3,703,0,418,111,418,64.16
22.8,73,447,18.35,1.7,447,0,169,73,169,77.57
19.9,0,0,22.43,1.6,0,0,0,0,0,91
18.7,0,0,24.81,1.9,0,0,0,0,0,104.08
17.8,0,0,26.73,2.1,0,0,0,0,0,116.63
17,0,0,28.36,2.3,0,0,0,0,0,128.18
16.1,0,0,29.97,2.4,0,0,0,0,0,137.85
15.3,0,0,31.13,2.5,0,0,0,0,0,144.08
14.5,0,0,32.08,2.5,0,0,0,0,0,144.94
14.1,0,0,32.12,2.5,0,0,0,0,0,140.09
13.1,0,0,33.73,2.6,0,0,0,0,0,131.21
12.4,0,0,35.33,2.7,0,0,0,0,0,120.08
11.8,0,0,37.6,2.7,0,0,0,0,0,107.76
11.9,0,0,38.96,3.1,0,0,0,0,0,94.8
